Index.No.,Region,Country,Port.Name,latdeg,latmin,latdir,londeg,lonmin,londir,Publication,Chart,Harbor.Size,Harbor.Type,Shelter,Tide,Swell,Ice,Other,Overhead.Limits,Channel,Anchorage,Cargo.Pier,Oil.Terminal,Tide.1,Maximum.Size,Good.Holding,Turning.Area,X1st.Port.of.Entry,U.S.,ETA.Message,Compulsory,Available,Local.Assistance,Advisable,Tug.Salvage,Tug.Assistance,Pratique,Derat.Certificate,Other.1,Telephone,Telegraph,Radio,Radio.Telephone,Air,Rail,Wharves,Anchor,Med..Moor,Beach.Moor,Ice.Moor,Medical.Facilities,Garbage.Disposal,Degauss,Dirty.Ballast,Fixed,Mobile,Floating,X100.Tons.Plus,X50.100.Tons,X25.49.Tons,X0.24.Tons,Longshore,Electrical,Steam,Nav.Equipment,Electric.Repair,Provisions,Water,Fuel.Oil,Diesel.Oil,Deck,Engine,Repair,Drydock,Railway,latlon,lat,lon
7870,6585,US,GULFPORT SI,40,38,N,74,12,W,CP02,12333,S,RN,G,N,N,N,Y,Y,J,J,K,K,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,C,,,40 38 N 74 12 W,40.6333333333333,-74.2
7895,6585,US,BAYWAY,40,38,N,74,12,W,CP02,12333,V,RN,G,N,N,N,Y,Y,K,K,L,J,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,,,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,C,,,40 38 N 74 12 W,40.6333333333333,-74.2
2560,2545,CA,COTEAU LANDING,45,15,N,74,12,W,C301,14202,V,LC,E,,,Y,,Y,O,O,O,,0,,,,,,,Y,Y,,,,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,M,,45 15 N 74 12 W,45.25,-74.2
2330,2270,CA,ST PLACIDE,45,32,N,74,12,W,SCOR,1510,V,RN,E,,,Y,,,P,P,Q,,0,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 32 N 74 12 W,45.5333333333333,-74.2
7820,6585,US,ELIZABETHPORT,40,39,N,74,11,W,CP02,12333,S,CN,G,N,N,N,Y,Y,J,J,K,L,5,L,Y,Y,Y,N,Y,Y,,,,,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 39 N 74 11 W,40.65,-74.1833333333333
7860,6585,US,MARINERS HARBOR SI,40,38,N,74,10,W,CP02,12333,S,CN,G,N,N,N,Y,Y,J,J,K,,5,,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,,40 38 N 74 10 W,40.6333333333333,-74.1666666666667
7810,6585,US,NEWARK,40,42,N,74,9,W,CP02,12337,M,RB,G,N,N,N,Y,,L,J,J,M,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 42 N 74 9 W,40.7,-74.15
7850,6585,US,PORT RICHMOND SI,40,39,N,74,8,W,CP02,12333,S,CN,G,N,N,N,Y,Y,J,J,L,,5,,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 39 N 74 8 W,40.65,-74.1333333333333
2320,2270,CA,HUDSON,45,28,N,74,8,W,SCOR,1510,V,RN,E,,,Y,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 28 N 74 8 W,45.4666666666667,-74.1333333333333
8000,6585,US,BARNEGAT,39,46,N,74,6,W,CP03,12324SC,V,CN,G,N,N,N,Y,Y,P,P,P,,3,M,,,N,N,,,,Y,Y,N,N,Y,,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,,,,,,,Y,Y,Y,Y,,,C,,S,39 46 N 74 6 W,39.7666666666667,-74.1
7790,6585,US,BAYONNE,40,41,N,74,6,W,CP02,12333,M,RN,G,N,N,N,Y,Y,K,H,H,K,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,Y,Y,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,,M,40 41 N 74 6 W,40.6833333333333,-74.1
2310,2270,CA,OKA SUR LE LAC,45,28,N,74,5,W,SCOR,1510,V,RN,E,,,Y,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 28 N 74 5 W,45.4666666666667,-74.0833333333333
7990,6585,US,LEONARDO,40,26,N,74,4,W,CP02,12330,S,CN,F,N,N,N,Y,N,K,J,J,,5,M,,Y,N,N,,Y,,,,,,Y,,,Y,,,,,Y,Y,,,,,Y,,,N,,,,,,,Y,,,,,Y,,Y,,Y,,,,,S,40 26 N 74 4 W,40.4333333333333,-74.0666666666667
7830,6585,US,STAPLETON SI,40,38,N,74,4,W,CP02,12333,S,CN,G,N,N,N,Y,Y,H,H,J,H,5,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 38 N 74 4 W,40.6333333333333,-74.0666666666667
7840,6585,US,TOMPKINSVILLE SI,40,38,N,74,4,W,CP02,12333,M,CN,G,N,N,N,Y,Y,H,H,J,,5,,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,,,40 38 N 74 4 W,40.6333333333333,-74.0666666666667
7780,6585,US,JERSEY CITY,40,43,N,74,2,W,CP02,12335,M,RN,G,N,N,N,Y,,H,H,K,K,4,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,N,Y,Y,Y,,,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,40 43 N 74 2 W,40.7166666666667,-74.0333333333333
2300,2270,CA,VAUDREUIL,45,24,N,74,2,W,SCOR,1510,V,RN,E,,,Y,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 24 N 74 2 W,45.4,-74.0333333333333
7630,6585,US,BROOKLYN,40,40,N,74,1,W,CP02,12335,L,RN,E,N,N,N,Y,Y,H,H,H,J,5,L,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,M,L,40 40 N 74 1 W,40.6666666666667,-74.0166666666667
7640,6585,US,NEW YORK CITY,40,42,N,74,1,W,CP02,12335,L,RN,E,Y,N,N,N,Y,H,H,H,G,5,L,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,L,40 42 N 74 1 W,40.7,-74.0166666666667
7770,6585,US,HOBOKEN,40,45,N,74,1,W,CP02,12335,M,RN,G,N,N,N,,,H,H,K,,4,L,Y,Y,Y,N,Y,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,Y,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,M,,40 45 N 74 1 W,40.75,-74.0166666666667
7760,6585,US,WEEHAWKEN,40,46,N,74,1,W,CP02,12335,S,RN,G,N,N,N,,,H,H,K,,4,L,,,Y,N,N,Y,,,,,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,,,,Y,,,N,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,L,,40 46 N 74 1 W,40.7666666666667,-74.0166666666667
