Index.No.,Region,Country,Port.Name,latdeg,latmin,latdir,londeg,lonmin,londir,Publication,Chart,Harbor.Size,Harbor.Type,Shelter,Tide,Swell,Ice,Other,Overhead.Limits,Channel,Anchorage,Cargo.Pier,Oil.Terminal,Tide.1,Maximum.Size,Good.Holding,Turning.Area,X1st.Port.of.Entry,U.S.,ETA.Message,Compulsory,Available,Local.Assistance,Advisable,Tug.Salvage,Tug.Assistance,Pratique,Derat.Certificate,Other.1,Telephone,Telegraph,Radio,Radio.Telephone,Air,Rail,Wharves,Anchor,Med..Moor,Beach.Moor,Ice.Moor,Medical.Facilities,Garbage.Disposal,Degauss,Dirty.Ballast,Fixed,Mobile,Floating,X100.Tons.Plus,X50.100.Tons,X25.49.Tons,X0.24.Tons,Longshore,Electrical,Steam,Nav.Equipment,Electric.Repair,Provisions,Water,Fuel.Oil,Diesel.Oil,Deck,Engine,Repair,Drydock,Railway,latlon,lat,lon
38505,38340,ES,ISLAS  COLUMBRETES,0,0,,0,0,,131,52080,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 0  0 0 ,NA,NA
56328,56327,QM,MIDWAY ISLAND,28,11,N,177,22,W,CP07,19480,V,CB,G,N,Y,N,Y,,J,A,L,,1,,,,,Y,Y,Y,,,Y,,Y,,,,Y,Y,Y,Y,Y,N,Y,,,,,Y,Y,,,,Y,,,,Y,Y,Y,Y,Y,N,N,,,,,N,N,D,,,28 11 N 177 22 W,28.1833333333333,-177.366666666667
20140,20095,US,ADAK NAVAL AIR STATION,51,52,N,176,38,W,CP09,16471,S,CB,F,N,Y,N,Y,N,A,J,J,J,4,L,,Y,,,Y,,,,Y,,,Y,,,Y,,Y,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,Y,Y,Y,N,N,,,,51 52 N 176 38 W,51.8666666666667,-176.633333333333
55650,55640,WF,MATA-UTU,13,17,S,176,8,W,126,83495,V,OR,F,N,N,N,Y,N,M,J,O,,4,M,Y,Y,,,,,,,,,,,,,,,Y,,,,,Y,,,,Y,,,,N,,,,,,,,,,,,Y,Y,,,,,D,,,13 17 S 176 8 W,-13.2833333333333,-176.133333333333
55590,55575,TO,NUKU ALOFA,21,8,S,175,12,W,126,83567,V,CN,G,Y,Y,N,N,N,J,A,G,,1,M,Y,,Y,N,Y,Y,Y,,Y,N,N,,,Y,,,Y,Y,Y,,Y,,,,,Y,Y,,N,,,,,,,,,,,,,,Y,,Y,,,C,,,21 8 S 175 12 W,-21.1333333333333,-175.2
55600,55575,TO,PANGAI,19,48,S,174,21,W,126,83560,V,CN,F,N,N,N,Y,N,N,A,P,,2,M,,,,,Y,,N,,,,Y,,,Y,,,Y,,,,,Y,,,,Y,Y,,N,,,,,,,,,,,,,Y,Y,Y,,,,C,,,19 48 S 174 21 W,-19.8,-174.35
20135,20095,US,PALISADES POINT,52,14,N,174,10,W,CP09,16490,V,CN,F,N,N,N,,,,,M,,3,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 14 N 174 10 W,52.2333333333333,-174.166666666667
55610,55575,TO,NEIAFU,18,39,S,173,59,W,126,83555,V,CN,G,N,N,N,Y,N,N,A,L,,1,M,Y,Y,,,Y,Y,Y,,,N,Y,,,Y,,,Y,,Y,,Y,Y,Y,,,Y,Y,,Y,N,N,N,,,,,,,,,,Y,Y,Y,,,,,,,18 39 S 173 59 W,-18.65,-173.983333333333
62640,62530,RU,PROVIDENIYA,64,25,N,173,14,W,155,96645,V,CN,G,N,N,Y,Y,N,A,A,K,L,2,,,,,,Y,Y,Y,,Y,,Y,,,,Y,Y,Y,Y,Y,N,Y,,Y,,,,,,Y,Y,Y,,,,Y,Y,Y,,,,,Y,Y,Y,Y,,,C,,,64 25 N 173 14 W,64.4166666666667,-173.233333333333
55670,55665,WS,APIA,13,49,S,171,46,W,126,83476/3,V,CN,G,Y,Y,N,N,,J,A,L,J,1,L,,Y,,,Y,Y,Y,,Y,,Y,Y,,Y,Y,Y,Y,Y,Y,N,Y,,,,,Y,Y,,N,,Y,,,,,Y,Y,,,,,,Y,Y,,Y,Y,C,,S,13 49 S 171 46 W,-13.8166666666667,-171.766666666667
56025,56019,KI,CANTON ISLAND,2,50,S,171,43,W,126,83105,V,OR,F,N,Y,N,Y,N,L,M,L,,3,,Y,Y,Y,N,N,,,,Y,N,N,,,,,,Y,Y,Y,,,Y,,,,Y,,,N,Y,,,,,,Y,,,,,,Y,Y,,Y,,,C,,,2 50 S 171 43 W,-2.83333333333333,-171.716666666667
55680,55675,AS,PAGO PAGO HARBOR,14,17,S,170,40,W,126,83484,S,CN,G,N,Y,N,N,N,A,J,F,J,3,M,Y,Y,Y,Y,Y,N,Y,,Y,,Y,Y,,,Y,,Y,,Y,,Y,,,,,,Y,,Y,,,Y,,,,Y,Y,,,,,,Y,Y,Y,,,C,,S,14 17 S 170 40 W,-14.2833333333333,-170.666666666667
20420,20185,US,SAVOONGA,63,41,N,170,24,W,CP09,16006,V,OR,P,,,,Y,,,,,,1,,,,,,Y,,Y,,,,,,,,,Y,,,,,,Y,,,,Y,N,,,,,,,,,,Y,Y,N,N,N,Y,N,Y,Y,N,N,,,,63 41 N 170 24 W,63.6833333333333,-170.4
20190,20185,US,VILLAGE COVE,57,8,N,170,16,W,CP09,16382,V,OR,P,N,N,N,Y,,,G,,,3,,Y,,,,,,,,,,,,,,,Y,,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,C,,S,57 8 N 170 16 W,57.1333333333333,-170.266666666667
55695,55685,NU,ALOFI,19,2,S,169,56,W,126,BA4630,V,CN,G,N,N,N,N,N,A,A,P,,2,,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,,,,Y,,,,N,,,,,,,,,,,,Y,Y,,,Y,Y,D,,,19 2 S 169 56 W,-19.0333333333333,-169.933333333333
56325,56324,XU,JOHNSTON ATOLL,16,45,N,169,31,W,126,83637,V,CN,F,N,N,N,Y,N,L,K,O,,2,L,N,Y,Y,Y,Y,,Y,,Y,,,,,,Y,Y,Y,Y,Y,,Y,,,,,Y,Y,,N,,Y,,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,,Y,Y,Y,C,,,16 45 N 169 31 W,16.75,-169.516666666667
20110,20095,US,MAKUSHIN,53,46,N,166,59,W,CP09,16517,V,OR,F,Y,Y,N,Y,,,B,,,2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 46 N 166 59 W,53.7666666666667,-166.983333333333
20320,20185,US,NASH HARBOR,60,12,N,166,59,W,CP09,16006,V,OR,P,N,N,N,Y,,,L,,,3,,,,,,Y,,Y,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 12 N 166 59 W,60.2,-166.983333333333
20100,20095,US,CANNERY BAY,53,42,N,166,45,W,CP09,16517,V,CN,F,N,N,N,Y,,,B,,,2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53 42 N 166 45 W,53.7,-166.75
20130,20095,US,UNALASKA,53,52,N,166,32,W,CP09,16529,V,CN,P,N,N,N,,,L,,K,,2,,Y,,,,,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,,,,53 52 N 166 32 W,53.8666666666667,-166.533333333333
20120,20095,US,DUTCH HARBOR,53,54,N,166,32,W,CP09,16529,S,CN,P,N,N,N,,,H,,,B,2,,,,,,,Y,Y,,,,N,,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,,,,53 54 N 166 32 W,53.9,-166.533333333333
20410,20185,US,GRANTLEY HARBOR,65,16,N,166,20,W,CP09,16204,V,OR,G,Y,N,N,Y,,P,M,,,1,,Y,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,65 16 N 166 20 W,65.2666666666667,-166.333333333333
56323,56050,US,TERN ISLAND,23,52,N,166,17,W,CP07,19402,V,CN,P,N,N,N,Y,,N,A,N,,1,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,C,,,23 52 N 166 17 W,23.8666666666667,-166.283333333333
20425,20185,US,SHISHMAREF,66,15,N,166,5,W,CP09,16005,V,CN,F,N,N,Y,Y,,,L,,,0,,,,,,,,Y,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,66 15 N 166 5 W,66.25,-166.083333333333
20097,20095,US,AKUTAN HARBOR,54,8,N,165,48,W,CP09,16532,V,CN,G,N,N,N,Y,,A,B,J,,2,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 8 N 165 48 W,54.1333333333333,-165.8
20400,20185,US,NOME,64,30,N,165,25,W,CP09,16206,S,OR,P,N,N,N,Y,,P,H,P,,2,,,Y,,,Y,,Y,,,,,Y,,,Y,Y,,Y,Y,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,64 30 N 165 25 W,64.5,-165.416666666667
20330,20185,US,KWIGUK,62,44,N,164,28,W,CP09,16240,V,RN,F,N,N,N,Y,,,,,,1,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,62 44 N 164 28 W,62.7333333333333,-164.466666666667
20390,20185,US,SOLOMON,64,33,N,164,24,W,CP09,16200,V,OR,P,N,N,Y,Y,,,G,,,1,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64 33 N 164 24 W,64.55,-164.4
20350,20185,US,HAMILTON,62,54,N,163,55,W,CP09,16240,V,RN,F,,,,Y,,,,,,2,,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,62 54 N 163 55 W,62.9,-163.916666666667
20340,20185,US,KOTLIK,63,2,N,163,33,W,CP09,16240,V,RN,F,,,,Y,,,,,,3,,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,63 2 N 163 33 W,63.0333333333333,-163.55
20090,19080,US,SANAK,54,29,N,162,49,W,CP09,16547,V,OR,F,,,,Y,,,N,,,4,,,,,,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54 29 N 162 49 W,54.4833333333333,-162.816666666667
20430,20185,US,DEERING,66,5,N,162,44,W,CP09,16005,V,OR,F,N,N,Y,Y,,,L,,,2,,,,,,Y,,Y,,,,,,,,Y,,,,Y,,,Y,,,,N,Y,,,,,,,,,,N,N,N,N,N,N,Y,N,N,N,N,,,,66 5 N 162 44 W,66.0833333333333,-162.733333333333
20085,19080,US,COLD BAY,55,12,N,162,42,W,CP09,16549,V,CN,F,N,N,N,,,,,K,,0,,,,,,,,,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 12 N 162 42 W,55.2,-162.7
20450,20185,US,KOTZEBUE,66,55,N,162,35,W,CP09,16005,V,CN,F,N,N,Y,Y,,,L,,,2,,,,,,Y,,Y,,,,,,,,,,,Y,Y,,,Y,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,66 55 N 162 35 W,66.9166666666667,-162.583333333333
20080,19080,US,KING COVE,55,3,N,162,19,W,CP09,16549,V,CN,P,N,N,N,Y,,,A,M,,5,,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,,,,Y,N,,,,,,,,,,N,N,N,N,N,Y,Y,Y,Y,N,N,C,,S,55 3 N 162 19 W,55.05,-162.316666666667
20070,19080,US,BELKOFSKI,55,5,N,162,2,W,CP09,16549,V,OR,P,,,,,,,E,,,5,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,,Y,,,,N,N,,,,,,,,,,Y,Y,N,N,N,,,,,,,,,,55 5 N 162 2 W,55.0833333333333,-162.033333333333
20360,20185,US,ST MICHAEL,63,29,N,162,2,W,CP09,16240,V,OR,P,N,,N,Y,,,N,,,4,,Y,,,,Y,,Y,,,,,,,,,Y,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,C,,S,63 29 N 162 2 W,63.4833333333333,-162.033333333333
20305,20185,US,PLATINUM,59,1,N,161,50,W,CP09,16300,V,CN,F,Y,N,N,Y,,,,,,4,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,,59 1 N 161 50 W,59.0166666666667,-161.833333333333
20310,20185,US,BETHEL,60,49,N,161,43,W,CP09,16006,V,RN,F,N,N,N,Y,,,,,,4,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,60 49 N 161 43 W,60.8166666666667,-161.716666666667
20370,20185,US,UNALAKLEET,63,53,N,160,47,W,CP09,16200,V,OR,P,N,N,N,Y,,,L,,,3,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,63 53 N 160 47 W,63.8833333333333,-160.783333333333
20200,20185,US,PORT MOLLER,55,59,N,160,34,W,CP09,16363,V,CN,F,N,N,N,,,,H,M,,10,,,,,,Y,,Y,,,,,,,,Y,Y,Y,Y,Y,,Y,Y,,,,Y,N,,,,,,,,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,55 59 N 160 34 W,55.9833333333333,-160.566666666667
20050,19080,US,BARALOF BAY,55,14,N,160,32,W,CP09,16553,V,CN,F,N,N,N,,,,A,L,P,5,,,,,,Y,,Y,,,,,,,N,,Y,,Y,Y,,Y,Y,,,,N,,,,,,,,,,,,,,,,Y,Y,N,N,N,N,,,,55 14 N 160 32 W,55.2333333333333,-160.533333333333
20040,19080,US,SAND POINT,55,20,N,160,32,W,CP09,16553,V,CN,F,N,N,N,Y,,,,M,O,5,,,,Y,,Y,,Y,,,,,,,,Y,Y,,Y,Y,,Y,Y,,,,Y,N,,,,,,,,,,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,C,,S,55 20 N 160 32 W,55.3333333333333,-160.533333333333
20060,19080,US,UNGA,55,11,N,160,30,W,CP09,16553,V,OR,P,N,N,N,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 11 N 160 30 W,55.1833333333333,-160.5
56320,56050,US,NONOPAPA,21,52,N,160,14,W,CP07,19380,V,OR,P,N,Y,N,,,H,G,P,,1,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,Y,,,,,Y,,,,,,,,,,,,D,,,21 52 N 160 14 W,21.8666666666667,-160.233333333333
20470,20185,US,WAINWRIGHT,70,39,N,160,0,W,CP09,16085,V,OR,P,N,N,Y,Y,,,,,,1,,,,,,Y,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,70 39 N 160 0 W,70.65,-160
55740,55700,CK,AVATIU,21,12,S,159,47,W,126,83425,V,CN,G,N,Y,N,Y,N,N,A,N,N,1,M,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,,Y,Y,Y,Y,Y,Y,,Y,Y,,,,Y,Y,,N,,Y,,,,,Y,Y,Y,N,N,N,,Y,Y,,N,N,C,,,21 12 S 159 47 W,-21.2,-159.783333333333
56290,56050,US,PORT ALLEN,21,54,N,159,35,W,CP07,19382,S,CB,G,N,N,N,Y,,K,F,J,K,0,M,N,,Y,Y,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,,,N,,,,,,,,Y,,,,,,Y,Y,Y,,,C,,,21 54 N 159 35 W,21.9,-159.583333333333
20020,19080,US,IVANOF BAY,55,48,N,159,28,W,CP09,16566,V,CN,F,N,N,N,,,,A,M,,6,,,,,,Y,,Y,,,,,,,,,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 48 N 159 28 W,55.8,-159.466666666667
56039,56037,KI,ENGLISH HARBOR,3,51,N,159,22,W,126,83158,V,CN,F,Y,Y,N,Y,N,A,E,,,1,M,,,Y,N,N,Y,Y,,,N,Y,,,,,Y,Y,,,,,Y,,,,Y,,,N,Y,,,,,,Y,Y,,,,,,Y,,,,,,,,3 51 N 159 22 W,3.85,-159.366666666667
56300,56050,US,NAWILIWILI BAY,21,57,N,159,21,W,CP07,19383,S,CB,F,N,N,N,Y,,J,J,K,,2,M,N,Y,Y,N,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,,,N,N,N,N,,,,,Y,,,,,,Y,Y,Y,,,C,,S,21 57 N 159 21 W,21.95,-159.35
56310,56050,US,AHUKINI LANDING,22,0,N,159,20,W,CP07,19384,V,CB,F,N,Y,N,,,K,K,L,,1,,,,,,,,,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,22 0 N 159 20 W,22,-159.333333333333
20210,20185,US,PORT HEIDEN,56,53,N,158,42,W,CP09,16343,V,CN,F,N,N,Y,Y,,,,,,0,,N,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 53 N 158 42 W,56.8833333333333,-158.7
20280,20185,US,EKUK,58,49,N,158,34,W,CP09,16322,V,OR,F,N,N,N,Y,,,,P,,15,,,,,,Y,,Y,,,,,,,,,,Y,Y,,,Y,Y,,,,,,,,Y,,,,Y,,,,,,,,,Y,,,,,C,,S,58 49 N 158 34 W,58.8166666666667,-158.566666666667
20290,20185,US,CLARKS POINT,58,51,N,158,33,W,CP09,16322,V,OR,F,N,N,N,Y,,,,,,15,,,,,,Y,,Y,,,,,,,,,,Y,Y,Y,,Y,Y,,,,N,N,,,Y,,,,,,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,C,,S,58 51 N 158 33 W,58.85,-158.55
20300,20185,US,DILLINGHAM,59,2,N,158,29,W,CP09,16322,V,CN,F,Y,N,N,Y,,,,,,15,,,,,,Y,,Y,,,,,,,,,Y,,Y,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,Y,Y,,Y,,,,,S,59 2 N 158 29 W,59.0333333333333,-158.483333333333
20010,19080,US,CHIGNIK,56,18,N,158,24,W,CP09,16566,V,CN,P,N,N,N,,,,,M,,7,,,,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,,,56 18 N 158 24 W,56.3,-158.4
56272,56050,US,BARBER'S POINT,21,19,N,158,7,W,CP07,193991,V,CB,F,,,,Y,Y,H,A,J,N,1,M,,,,,,Y,Y,,,N,N,,Y,Y,Y,Y,Y,,,,,,,,,Y,N,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,A,M,,21 19 N 158 7 W,21.3166666666667,-158.116666666667
56270,56045,US,BARBERS POINT TERMINAL,21,16,N,158,6,W,CP07,19339,V,OR,P,,,,Y,,,B,,B,0,M,N,Y,,,Y,Y,Y,,,,Y,,,Y,Y,Y,Y,,,,,Y,Y,,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,,,,,21 16 N 158 6 W,21.2666666666667,-158.1
56280,56050,US,HONOLULU,21,18,N,157,52,W,CP07,19367,M,CB,E,N,N,N,Y,Y,J,A,M,M,2,M,,Y,Y,Y,Y,Y,Y,,Y,Y,Y,,Y,Y,,,Y,,Y,,Y,,,,,Y,Y,,Y,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,A,,L,21 18 N 157 52 W,21.3,-157.866666666667
20220,20185,US,PILOT POINT,57,34,N,157,36,W,CP09,16338,V,CN,F,N,N,N,Y,,,,,,0,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,N,N,,,,,,,,,,N,Y,N,N,N,Y,Y,N,N,N,N,,,,57 34 N 157 36 W,57.5666666666667,-157.6
20230,20185,US,UGASHIK,57,32,N,157,25,W,CP09,16011,V,RN,F,N,N,N,Y,,,,,,0,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,C,,,57 32 N 157 25 W,57.5333333333333,-157.416666666667
20240,20185,US,EGEGIK,58,12,N,157,22,W,CP09,16323,V,CN,F,N,N,N,Y,,,,P,,11,,,,,,Y,,Y,,,,,,,,,Y,,Y,Y,,,Y,,,,,,,,Y,,,,,,Y,,,,,,,Y,,,,,,,S,58 12 N 157 22 W,58.2,-157.366666666667
56260,56050,US,KAUNAKAKAI,21,5,N,157,2,W,CP07,19353,V,OR,G,N,N,N,N,N,M,A,M,P,1,,,Y,,,Y,Y,Y,,,N,N,,,Y,Y,Y,Y,,Y,,Y,,,,,Y,N,,,Y,,,,,,Y,N,Y,N,N,N,,Y,Y,Y,N,N,D,,,21 5 N 157 2 W,21.0833333333333,-157.033333333333
20250,20185,US,NAKNEK,58,43,N,157,1,W,CP09,16323,V,CN,F,N,N,Y,Y,Y,K,K,P,,18,,,,,,Y,,Y,,,,,,,,Y,Y,,Y,Y,,Y,Y,,,,Y,,,,Y,,,,Y,,,,,,,,Y,Y,N,Y,,,C,,S,58 43 N 157 1 W,58.7166666666667,-157.016666666667
56230,56050,US,KAUMALAPAU HARBOR,20,47,N,157,0,W,CP07,19351,V,CB,G,N,Y,N,,,J,H,L,,2,M,,Y,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,Y,,,,Y,,,,,,,,,Y,Y,Y,,,C,,,20 47 N 157 0 W,20.7833333333333,-157
20270,20185,US,KOGGIUNG,58,58,N,156,55,W,CP09,16323,V,CN,F,N,N,N,Y,,,,,,14,,,,,,Y,,Y,,,,,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,C,,S,58 58 N 156 55 W,58.9666666666667,-156.916666666667
56250,56050,US,KAMALO,21,3,N,156,53,W,CP07,19353,V,CN,P,N,Y,N,,,O,H,N,,1,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,Y,,,,,,,21 3 N 156 53 W,21.05,-156.883333333333
56240,56050,US,PUKOO,21,4,N,156,48,W,CP07,19353,V,TH,F,N,N,N,Y,,O,O,N,,1,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 4 N 156 48 W,21.0666666666667,-156.8
20480,20185,US,BARROW,71,17,N,156,47,W,CP09,16082,V,OR,P,N,N,Y,Y,,,,,,0,,,,,,Y,,Y,,,,,,,,Y,Y,Y,Y,Y,,,,,,,Y,N,,,,,,,,,,N,N,N,N,N,Y,Y,N,Y,N,N,,,,71 17 N 156 47 W,71.2833333333333,-156.783333333333
56200,56050,US,LAHAINA,20,52,N,156,40,W,CP07,19348,V,CB,G,N,Y,N,,,P,E,P,,1,M,Y,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,Y,N,,,Y,,,,,,Y,,,,,,N,Y,N,N,N,N,,,,20 52 N 156 40 W,20.8666666666667,-156.666666666667
56180,56050,US,KAHULUI,20,54,N,156,28,W,CP07,19342,V,CB,G,N,N,N,,,J,F,K,N,1,M,N,Y,Y,N,Y,Y,Y,,Y,,Y,,Y,Y,Y,Y,Y,,Y,,Y,,,,,Y,,,N,,,,,,,,Y,Y,N,N,N,,Y,Y,Y,Y,Y,C,,S,20 54 N 156 28 W,20.9,-156.466666666667
20000,19080,US,KANATAK,57,34,N,156,2,W,CP09,16570,V,OR,P,N,N,N,,,,,,,10,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57 34 N 156 2 W,57.5666666666667,-156.033333333333
56140,56050,US,KAILUA,19,38,N,156,0,W,CP07,19331,V,CN,F,N,N,N,,,L,H,N,,1,,,Y,,,,,Y,,,,,,Y,,Y,,,,Y,,Y,,,,,Y,N,,,,,,,,,,N,N,N,N,N,Y,Y,N,N,,,C,,,19 38 N 156 0 W,19.6333333333333,-156
56190,56050,US,HANA,20,45,N,155,59,W,CP07,19341,V,CN,P,N,N,N,Y,,K,L,L,,2,,N,Y,,,,Y,,,,,,,,,,,,,Y,,Y,,,,,Y,N,,,,,,,,,,,,,,,Y,,,,,,,,,20 45 N 155 59 W,20.75,-155.983333333333
56150,56050,US,KIHOLO,19,52,N,155,57,W,CP07,19327,V,CN,F,N,N,N,Y,,J,K,P,,1,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,N,N,N,Y,Y,,,,19 52 N 155 57 W,19.8666666666667,-155.95
56130,56050,US,NAPOOPOO,19,29,N,155,56,W,CP07,19332,V,CN,F,N,Y,N,,,H,K,Q,,2,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,19 29 N 155 56 W,19.4833333333333,-155.933333333333
56110,56050,US,MILOLII,19,11,N,155,54,W,CP07,19320/10,V,OR,P,N,N,N,Y,,A,A,P,,2,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,N,N,N,Y,Y,,,,19 11 N 155 54 W,19.1833333333333,-155.9
56120,56050,US,KAUHAKO BAY,19,23,N,155,54,W,CP07,19320,V,CN,F,N,N,N,,,A,A,P,,2,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,N,N,N,Y,Y,,,,19 23 N 155 54 W,19.3833333333333,-155.9
56170,56050,US,MAHUKONA,20,11,N,155,54,W,CP07,19329,V,CN,F,N,N,N,Y,,J,E,P,,1,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,20 11 N 155 54 W,20.1833333333333,-155.9
56160,56050,US,KAWAIHAE,20,2,N,155,50,W,CP07,19330,S,CB,F,Y,Y,N,Y,,J,G,N,,1,M,Y,Y,Y,,Y,Y,Y,,,,Y,,,Y,Y,Y,Y,,Y,,Y,,,,,Y,,,,,,,,,,,Y,Y,N,N,N,,Y,Y,,,,C,M,S,20 2 N 155 50 W,20.0333333333333,-155.833333333333
56100,56050,US,HONUAPO,19,5,N,155,33,W,CP07,19322,V,OR,P,N,N,N,Y,,H,A,M,,2,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,,,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,N,N,N,Y,Y,,,,19 5 N 155 33 W,19.0833333333333,-155.55
56070,56050,US,HONOKAA,20,6,N,155,28,W,CP07,19322,V,OR,P,N,N,N,,,H,H,P,,2,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,Y,,Y,,,,Y,Y,,,,,,,,,,N,N,N,Y,Y,Y,N,N,N,Y,Y,,,S,20 6 N 155 28 W,20.1,-155.466666666667
